disease,symptom_1,symptom_2,symptom_3,symptom_4
Common Cold,cough,runny nose,fatigue,
Common Cold,,,sneezing,fatigue
Asthma,chest pain,,wheezing,difficulty breathing
Pneumonia,fever,,chills,
Typhoid,weakness,rash,high fever,
Viral Fever,fatigue,body ache,,
Gastroenteritis,muscle ache,vomiting,diarrhea,nausea
Migraine,,sensitivity to light,blurred vision,sensitivity to sound
Anemia,,fatigue,dizziness,
Acid Peptic Disease,indigestion,,stomach pain,
Typhoid,headache,weakness,stomach pain,loss of appetite
Asthma,fatigue,cough,chest pain,difficulty breathing
Anemia,fatigue,headache,weakness,dizziness
Pneumonia,sweating,,cough,
Allergy,,,cough,runny nose
Viral Fever,headache,,fever,
Dengue,nausea,joint pain,,muscle pain
Anemia,,cold hands and feet,pale skin,chest pain
Hypertension,headache,shortness of breath,chest pain,dizziness
Viral Fever,fever,headache,body ache,fatigue
Acid Peptic Disease,vomiting,heartburn,loss of appetite,indigestion
Hypertension,,,headache,blurred vision
Asthma,fatigue,difficulty breathing,loss of taste,
Allergy,itchy eyes,,shortness of breath,cough
Viral Fever,headache,fever,mild cough,
COVID-19,,fatigue,,muscle pain
COVID-19,,fatigue,,cough
Allergy,,rash,,shortness of breath
COVID-19,,cough,,muscle pain
Typhoid,stomach pain,headache,weakness,high fever
Gastroenteritis,headache,nausea,,
Typhoid,weakness,loss of appetite,rash,headache
Dengue,,,rash,high fever
Diabetes,fatigue,unexplained weight loss,,
Allergy,cough,itchy eyes,rash,
Viral Fever,mild cough,headache,,
Malaria,muscle pain,nausea,vomiting,chills
Asthma,difficulty breathing,cough,wheezing,shortness of breath
Gastroenteritis,muscle ache,,diarrhea,
Typhoid,vomiting,headache,high fever,weakness
Asthma,,wheezing,shortness of breath,
Allergy,itchy eyes,cough,,rash
COVID-19,loss of smell,,difficulty breathing,
Pneumonia,sweating,chest pain,,
Allergy,,runny nose,itchy eyes,headache
Dengue,nausea,high fever,joint pain,rash
Anemia,cold hands and feet,pale skin,,
Acid Peptic Disease,heartburn,indigestion,,stomach pain
Allergy,rash,itchy eyes,,runny nose
Hypertension,headache,blurred vision,shortness of breath,nosebleeds
Diabetes,,increased thirst,frequent urination,extreme hunger
Migraine,dizziness,sensitivity to sound,vomiting,headache
Malaria,sweating,,,muscle pain
Viral Fever,sweating,headache,body ache,fatigue
Hypertension,dizziness,,,chest pain
COVID-19,muscle pain,fatigue,loss of smell,
Viral Fever,,sweating,,fever
Typhoid,rash,stomach pain,weakness,diarrhea
Acid Peptic Disease,,indigestion,nausea,heartburn
Dengue,vomiting,,joint pain,high fever
Common Cold,,,sore throat,fatigue
Typhoid,weakness,loss of appetite,diarrhea,rash
Migraine,blurred vision,,sensitivity to light,nausea
Pneumonia,fever,fatigue,difficulty breathing,chest pain
Asthma,wheezing,cough,shortness of breath,chest pain
COVID-19,loss of smell,loss of taste,fever,
Hypertension,nosebleeds,,chest pain,
Dengue,rash,muscle pain,nausea,vomiting
Anemia,weakness,,,chest pain
Diabetes,unexplained weight loss,blurred vision,fatigue,
Hypertension,headache,dizziness,nosebleeds,chest pain
Allergy,rash,runny nose,itchy eyes,shortness of breath
Acid Peptic Disease,vomiting,heartburn,loss of appetite,stomach pain
Common Cold,,sore throat,,runny nose
Hypertension,blurred vision,nosebleeds,chest pain,shortness of breath
Migraine,,sensitivity to sound,vomiting,
Viral Fever,mild cough,headache,sweating,fever
Malaria,vomiting,chills,nausea,sweating
COVID-19,fatigue,fever,loss of smell,
Gastroenteritis,,muscle ache,headache,diarrhea
Migraine,dizziness,nausea,sensitivity to sound,
Typhoid,diarrhea,,headache,
Acid Peptic Disease,vomiting,heartburn,nausea,stomach pain
Malaria,chills,nausea,fever,sweating
Pneumonia,,chest pain,,difficulty breathing
Gastroenteritis,vomiting,fever,nausea,stomach pain
Hypertension,,dizziness,blurred vision,
Hypertension,shortness of breath,headache,dizziness,blurred vision
Anemia,dizziness,weakness,cold hands and feet,headache
Diabetes,blurred vision,,frequent urination,
Typhoid,loss of appetite,weakness,diarrhea,rash
Hypertension,chest pain,headache,shortness of breath,nosebleeds
Typhoid,rash,loss of appetite,stomach pain,high fever
Pneumonia,fatigue,sweating,chills,
Gastroenteritis,,headache,diarrhea,
Diabetes,extreme hunger,fatigue,blurred vision,increased thirst
Malaria,headache,nausea,,sweating
Anemia,weakness,,,cold hands and feet
Migraine,nausea,severe headache,blurred vision,dizziness
Typhoid,headache,,rash,
Viral Fever,headache,body ache,sweating,chills
Acid Peptic Disease,nausea,stomach pain,loss of appetite,vomiting
Allergy,runny nose,cough,sneezing,rash
Pneumonia,,sweating,fever,cough
Typhoid,headache,weakness,,loss of appetite
Typhoid,,rash,loss of appetite,
Acid Peptic Disease,stomach pain,,,nausea
Malaria,nausea,,muscle pain,
Malaria,,,sweating,headache
Migraine,headache,blurred vision,nausea,sensitivity to light
Viral Fever,body ache,mild cough,headache,sweating
Migraine,,vomiting,headache,sensitivity to sound
Asthma,chest pain,difficulty breathing,wheezing,fatigue
Malaria,fever,,nausea,
Acid Peptic Disease,vomiting,heartburn,stomach pain,nausea
Diabetes,blurred vision,muscle pain,,frequent urination
Dengue,high fever,,joint pain,nausea
Migraine,,,vomiting,blurred vision
Anemia,pale skin,dizziness,chest pain,fatigue
Gastroenteritis,stomach pain,,nausea,
Viral Fever,,sweating,headache,fever
Asthma,difficulty breathing,cough,wheezing,chest pain
Asthma,fatigue,,chest pain,shortness of breath
Malaria,chills,fever,muscle pain,vomiting
Pneumonia,sweating,cough,,
Acid Peptic Disease,loss of appetite,stomach pain,vomiting,indigestion
Anemia,dizziness,pale skin,cold hands and feet,headache
Malaria,vomiting,headache,nausea,muscle pain
Dengue,joint pain,nausea,high fever,severe headache
Acid Peptic Disease,stomach pain,nausea,heartburn,
Asthma,,shortness of breath,fatigue,high fever
COVID-19,fever,,,cough
Acid Peptic Disease,vomiting,stomach pain,,
Anemia,cold hands and feet,chest pain,,pale skin
Typhoid,rash,diarrhea,,weakness
Gastroenteritis,,muscle ache,,headache
COVID-19,fever,muscle pain,fatigue,loss of smell
Viral Fever,headache,fever,sweating,mild cough
Typhoid,loss of appetite,,high fever,stomach pain
Malaria,headache,sweating,nausea,vomiting
Gastroenteritis,,vomiting,,headache
COVID-19,cough,loss of taste,difficulty breathing,muscle pain
Typhoid,high fever,diarrhea,headache,rash
Common Cold,sore throat,cough,,
Common Cold,fatigue,,congestion,
Typhoid,high fever,weakness,stomach pain,diarrhea
Diabetes,blurred vision,increased thirst,extreme hunger,
Hypertension,blurred vision,,,dizziness
Acid Peptic Disease,stomach pain,vomiting,,indigestion
Pneumonia,cough,difficulty breathing,sweating,chills
Diabetes,frequent urination,,,fatigue
Typhoid,high fever,weakness,headache,loss of appetite
Dengue,nausea,severe headache,,
Common Cold,sore throat,,headache,
Pneumonia,,difficulty breathing,cough,
Allergy,,cough,rash,
Hypertension,,blurred vision,dizziness,chest pain
Gastroenteritis,vomiting,,stomach pain,
Typhoid,,,stomach pain,diarrhea
Acid Peptic Disease,,,nausea,indigestion
Hypertension,headache,,blurred vision,muscle pain
Common Cold,fatigue,sneezing,,sore throat
Acid Peptic Disease,loss of appetite,nausea,vomiting,indigestion
Pneumonia,chills,chest pain,,
Malaria,,headache,vomiting,
Hypertension,shortness of breath,headache,,chest pain
Asthma,difficulty breathing,shortness of breath,fatigue,
Acid Peptic Disease,loss of appetite,heartburn,stomach pain,indigestion
Typhoid,,rash,,stomach pain
Malaria,fever,,vomiting,cold hands and feet
Gastroenteritis,diarrhea,nausea,headache,stomach pain
Diabetes,frequent urination,extreme hunger,increased thirst,blurred vision
Common Cold,sneezing,headache,sore throat,fatigue
Acid Peptic Disease,stomach pain,heartburn,indigestion,nausea
Hypertension,chest pain,nosebleeds,shortness of breath,
Typhoid,,stomach pain,headache,diarrhea
Anemia,fatigue,,,chest pain
Pneumonia,cough,fatigue,chest pain,fever
Allergy,,,cough,sneezing
COVID-19,,fatigue,,loss of taste
Common Cold,headache,sneezing,fatigue,congestion
Viral Fever,,body ache,fever,headache
Typhoid,,,headache,loss of appetite
Hypertension,chest pain,blurred vision,dizziness,nosebleeds
Allergy,,,rash,runny nose
Common Cold,fatigue,cough,runny nose,sneezing
Viral Fever,,body ache,fever,mild cough
Allergy,rash,,sneezing,
Gastroenteritis,nausea,fever,,stomach pain
Viral Fever,mild cough,,fatigue,sweating
Dengue,severe headache,vomiting,joint pain,muscle pain
Allergy,,runny nose,cough,rash
Diabetes,frequent urination,unexplained weight loss,,blurred vision
Hypertension,,headache,nosebleeds,
Dengue,,vomiting,,severe headache
Gastroenteritis,,diarrhea,nausea,fever
Common Cold,fatigue,sneezing,headache,
Allergy,sneezing,shortness of breath,cough,rash
Anemia,chest pain,cold hands and feet,headache,fatigue
COVID-19,fever,cough,difficulty breathing,loss of taste
Dengue,vomiting,,muscle pain,
Diabetes,,,increased thirst,extreme hunger
Common Cold,runny nose,sore throat,congestion,sneezing
Gastroenteritis,fever,,muscle ache,
Asthma,chest pain,severe headache,difficulty breathing,shortness of breath
Asthma,chest pain,wheezing,,
COVID-19,,loss of smell,,fever
Asthma,fatigue,,wheezing,shortness of breath
Diabetes,,increased thirst,fatigue,
Allergy,,,sneezing,cough
Gastroenteritis,fever,diarrhea,,
Migraine,,headache,,sensitivity to light
Migraine,sensitivity to light,blurred vision,dizziness,headache
Hypertension,blurred vision,shortness of breath,,
Allergy,sneezing,cough,itchy eyes,runny nose
Common Cold,sore throat,cough,fatigue,runny nose
Anemia,weakness,headache,,
COVID-19,muscle pain,loss of smell,loss of taste,fever
Dengue,rash,nausea,severe headache,muscle pain
Diabetes,,,fatigue,extreme hunger
Viral Fever,fatigue,body ache,,
Common Cold,headache,sore throat,runny nose,
Typhoid,high fever,headache,rash,
Diabetes,frequent urination,extreme hunger,blurred vision,fatigue
Dengue,severe headache,joint pain,high fever,nausea
COVID-19,fever,fatigue,,cough
Asthma,shortness of breath,fatigue,cough,wheezing
Diabetes,unexplained weight loss,frequent urination,extreme hunger,increased thirst
Anemia,,fatigue,,chest pain
Migraine,sensitivity to sound,fatigue,nausea,dizziness
Hypertension,,shortness of breath,,dizziness
Allergy,,cough,,shortness of breath
Gastroenteritis,diarrhea,,nausea,
Pneumonia,chest pain,,,fever
Hypertension,headache,nosebleeds,blurred vision,dizziness
Dengue,,vomiting,joint pain,muscle pain
Acid Peptic Disease,loss of appetite,nausea,heartburn,indigestion
COVID-19,loss of taste,cough,loss of smell,difficulty breathing
Gastroenteritis,vomiting,muscle ache,,
Anemia,pale skin,dizziness,chest pain,fatigue
Gastroenteritis,nausea,diarrhea,fever,vomiting
Pneumonia,cough,chills,fatigue,
Malaria,nausea,chills,sweating,muscle pain
Anemia,,,cold hands and feet,chest pain
Pneumonia,difficulty breathing,fatigue,cough,sweating
Pneumonia,cough,,sweating,difficulty breathing
Typhoid,,high fever,,stomach pain
COVID-19,fever,muscle pain,difficulty breathing,cough
Asthma,fatigue,wheezing,,chest pain
Gastroenteritis,stomach pain,nausea,,
Viral Fever,,fever,mild cough,headache
Viral Fever,sweating,fever,chills,body ache
Malaria,headache,chills,vomiting,fever
Dengue,nausea,joint pain,high fever,vomiting
Gastroenteritis,stomach pain,muscle ache,nausea,fever
Malaria,muscle pain,headache,chills,sweating
Asthma,chest pain,shortness of breath,,difficulty breathing
Migraine,nausea,,,dizziness
Acid Peptic Disease,nausea,loss of appetite,stomach pain,heartburn
Hypertension,headache,blurred vision,chest pain,dizziness
Pneumonia,fever,cough,,
Pneumonia,difficulty breathing,,,fatigue
Typhoid,high fever,weakness,,
Malaria,nausea,,muscle pain,
Asthma,difficulty breathing,shortness of breath,fatigue,
Hypertension,,blurred vision,headache,nosebleeds
Migraine,dizziness,headache,sensitivity to light,blurred vision
Gastroenteritis,headache,,muscle ache,vomiting
Diabetes,increased thirst,blurred vision,frequent urination,unexplained weight loss
Diabetes,,blurred vision,extreme hunger,fatigue
Diabetes,frequent urination,unexplained weight loss,fatigue,blurred vision
Gastroenteritis,diarrhea,,,stomach pain
Typhoid,,high fever,diarrhea,weakness
Migraine,sensitivity to light,,nausea,dizziness
Dengue,high fever,severe headache,,rash
COVID-19,difficulty breathing,,loss of smell,muscle pain
Migraine,vomiting,sensitivity to light,nausea,sensitivity to sound
Pneumonia,difficulty breathing,chest pain,,fever
Pneumonia,cough,,sweating,chest pain
COVID-19,cough,muscle pain,difficulty breathing,fatigue
Viral Fever,fever,mild cough,headache,sweating
Dengue,joint pain,severe headache,nausea,muscle pain
Hypertension,headache,,shortness of breath,blurred vision
Diabetes,fatigue,unexplained weight loss,extreme hunger,blurred vision
Malaria,fever,,sweating,muscle pain
Anemia,itchy eyes,,pale skin,headache
Gastroenteritis,nausea,stomach pain,fever,diarrhea
Migraine,headache,sensitivity to sound,,dizziness
Diabetes,unexplained weight loss,,frequent urination,
Common Cold,cough,sore throat,congestion,runny nose
Pneumonia,fever,chest pain,fatigue,difficulty breathing
Acid Peptic Disease,heartburn,nausea,,
Anemia,headache,chest pain,pale skin,cold hands and feet
Pneumonia,,fever,chills,fatigue
Gastroenteritis,stomach pain,vomiting,,
Migraine,nausea,,,vomiting
Malaria,vomiting,fever,,
Anemia,headache,chest pain,,weakness
COVID-19,fever,cough,difficulty breathing,
Allergy,cough,,rash,
Dengue,vomiting,severe headache,rash,muscle pain
Dengue,rash,vomiting,high fever,severe headache
Common Cold,,,cough,congestion
Anemia,headache,,,cold hands and feet
Typhoid,diarrhea,loss of appetite,,
Dengue,nausea,,rash,joint pain
Viral Fever,,fever,chills,fatigue
Migraine,dizziness,vomiting,headache,sensitivity to light
Typhoid,,rash,loss of appetite,
Hypertension,dizziness,blurred vision,shortness of breath,chest pain
Common Cold,,runny nose,,sneezing
Pneumonia,sweating,chills,chest pain,
Typhoid,high fever,stomach pain,loss of appetite,
Gastroenteritis,,nausea,,stomach pain
Pneumonia,cough,,chest pain,fever
Dengue,nausea,muscle pain,vomiting,
Acid Peptic Disease,stomach pain,cold hands and feet,nausea,vomiting
Acid Peptic Disease,loss of appetite,indigestion,nausea,stomach pain
Dengue,,muscle pain,,rash
Gastroenteritis,muscle ache,stomach pain,fever,diarrhea
Viral Fever,fatigue,sweating,mild cough,
Acid Peptic Disease,nausea,heartburn,vomiting,indigestion
Common Cold,sore throat,cough,fatigue,headache
Allergy,,sneezing,rash,cough
Allergy,rash,sneezing,cough,shortness of breath
Gastroenteritis,stomach pain,diarrhea,muscle ache,headache
Gastroenteritis,muscle ache,nausea,diarrhea,headache
Gastroenteritis,muscle ache,diarrhea,,vomiting
Asthma,shortness of breath,difficulty breathing,wheezing,
Dengue,vomiting,high fever,muscle pain,joint pain
Anemia,headache,dizziness,chest pain,
Acid Peptic Disease,vomiting,loss of appetite,stomach pain,heartburn
Hypertension,dizziness,headache,shortness of breath,blurred vision
Allergy,itchy eyes,runny nose,rash,shortness of breath
Anemia,,weakness,chest pain,fatigue
Gastroenteritis,vomiting,headache,stomach pain,nausea
Gastroenteritis,vomiting,,,nausea
Hypertension,headache,dizziness,chest pain,shortness of breath
Hypertension,nosebleeds,blurred vision,,headache
Viral Fever,,headache,body ache,
Allergy,shortness of breath,cough,sneezing,rash
Anemia,,weakness,cold hands and feet,
Asthma,,,wheezing,fatigue
Typhoid,headache,,loss of appetite,rash
Diabetes,frequent urination,extreme hunger,fatigue,increased thirst
Migraine,blurred vision,nausea,headache,dizziness
Malaria,chills,headache,,muscle pain
Acid Peptic Disease,vomiting,indigestion,loss of appetite,nausea
Acid Peptic Disease,,loss of appetite,stomach pain,
Typhoid,,weakness,rash,diarrhea
Asthma,difficulty breathing,fatigue,shortness of breath,cough
Viral Fever,,fatigue,mild cough,fever
Migraine,sensitivity to light,,nausea,sensitivity to sound
Common Cold,sore throat,cough,,
Typhoid,,,diarrhea,rash
Common Cold,runny nose,,,sneezing
Dengue,vomiting,joint pain,muscle pain,nausea
Viral Fever,headache,mild cough,sweating,fatigue
Diabetes,frequent urination,extreme hunger,,unexplained weight loss
Migraine,sensitivity to light,vomiting,,blurred vision
Acid Peptic Disease,stomach pain,indigestion,vomiting,heartburn
Acid Peptic Disease,indigestion,,heartburn,
Anemia,fatigue,,chest pain,
Migraine,blurred vision,vomiting,nausea,sensitivity to sound
Typhoid,,,rash,weakness
Pneumonia,chills,chest pain,fever,
Acid Peptic Disease,indigestion,,vomiting,heartburn
COVID-19,muscle pain,fever,cough,loss of smell
Pneumonia,,fatigue,chills,chest pain
Typhoid,headache,,,high fever
Migraine,nausea,sensitivity to sound,headache,dizziness
COVID-19,,stomach pain,loss of taste,muscle pain
Common Cold,cough,sore throat,congestion,fatigue
Allergy,itchy eyes,shortness of breath,sneezing,cough
Dengue,,muscle pain,severe headache,rash
Malaria,vomiting,chills,nausea,muscle pain
Common Cold,,headache,cough,congestion
Common Cold,sneezing,headache,runny nose,cold hands and feet
Viral Fever,,chills,fever,sweating
